plant,axis,phytomer,organ,element,area,green_area,width,height,PAR,Ag,An,Rd,gs,Tr,Ts,surfacic_nitrogen,nitrates,starch,amino_acids,proteins,sucrose,triosesP,fructan,mstruct,Nstruct,cytokinines
1,MS,1,Internode,enclosed,0.00113,0.00113,0.00257,0.30000,NA,0,-0.462711,0.462711,0.05,0.000005,14.288647,NA,0.00000,0.00000,17.00000,66.00000,424.50000,0.00000,0.00000,0.14150,0.00064,0.35000
1,MS,1,Internode,exposed,0.00037,0.00037,0.00257,0.40000,NA,0,-0.465161,0.465161,0.05,0.000005,14.370849,NA,0.00000,0.00000,5.00000,22.00000,139.50000,0.00000,0.00000,0.04650,0.00021,0.50000
1,MS,1,Lamina,exposed,0.00346,0.00346,0.01800,0.60000,NA,0,-0.468065,0.468065,0.05,0.000005,14.467316,NA,0.00000,0.00000,16.00000,380.00000,420.00000,0.00000,0.00000,0.14000,0.00102,3.50000
1,MS,1,Sheath,exposed,0.00060,0.00060,0.00110,0.50000,NA,0,-0.472382,0.472382,0.05,0.000005,14.608839,NA,0.00000,0.00000,12.00000,128.00000,309.00000,0.00000,0.00000,0.10300,0.00068,0.50000
1,MS,2,Internode,enclosed,0.00040,0.00040,0.00099,0.18000,NA,0,-0.467795,0.467795,0.05,0.000005,14.458397,NA,0.00000,0.00000,21.00000,20.00000,540.00000,0.00000,0.00000,0.18000,0.00033,0.15000
1,MS,2,Lamina,exposed,0.00340,0.00340,0.01400,0.38000,NA,0,-0.464923,0.464923,0.05,0.000005,14.36289,NA,0.00000,0.00000,10.00000,210.00000,270.00000,0.00000,0.00000,0.09000,0.00083,1.80000
1,MS,2,Sheath,exposed,0.00050,0.00050,0.00091,0.30000,NA,0,-0.470457,0.470457,0.05,0.000005,14.546,NA,0.00000,0.00000,8.00000,47.00000,207.00000,0.00000,0.00000,0.06900,0.00021,0.20000
1,MS,3,Internode,enclosed,0.00025,0.00025,0.00093,0.08000,NA,0,-0.466204,0.466204,0.05,0.000005,14.405605,NA,0.00000,0.00000,18.00000,20.00000,462.00000,0.00000,0.00000,0.15400,0.00014,0.10000
1,MS,3,Lamina,exposed,0.00228,0.00228,0.01250,0.24000,NA,0,-0.462164,0.462164,0.05,0.000005,14.270216,NA,0.00000,0.00000,6.00000,85.00000,150.00000,0.00000,0.00000,0.05000,0.00053,0.85000
1,MS,3,Sheath,exposed,0.00040,0.00040,0.00051,0.18000,NA,0,-0.471795,0.471795,0.05,0.000005,14.589742,NA,0.00000,0.00000,5.00000,13.00000,129.00000,0.00000,0.00000,0.04300,0.00011,0.15000
1,MS,4,Peduncle,enclosed,0.00159,0.00159,0.00349,0.65000,NA,0,-0.468092,0.468092,0.05,0.000005,14.468201,NA,0.00000,0.00000,20.00000,120.00000,510.00000,0.00000,0.00000,0.17000,0.00086,0.70000
1,MS,4,Peduncle,exposed,0.00081,0.00081,0.00349,0.50000,NA,0,-0.46492,0.46492,0.05,0.000005,14.362802,NA,0.00000,0.00000,10.00000,61.00000,260.50000,0.00000,0.00000,0.08700,0.00044,0.85000
1,MS,5,Chaff,exposed,0.00075,0.00075,0.00265,0.70000,NA,0,-0.470683,0.470683,0.05,0.000005,14.553406,NA,0.00000,0.00000,25.00000,260.00000,630.00000,0.00000,0.00000,0.21000,0.00107,1.10000
