t,plant,axis,phytomer,organ,element,green_area,SLN,relative_delta_green_area,mstruct_growth,Nstruct_N_growth,mstruct_senescence,mstruct,Nstruct
0,1,MS,0,Roots,enclosed,,,,16.009412,0.714706,0.000635,0.503865,0.009997
0,1,MS,1,Internode,enclosed,0.001129,1.596103,0,,,,0.1415,0.00064
0,1,MS,1,Internode,exposed,0.000371,1.584906,0,,,,0.0465,0.00021
0,1,MS,1,Lamina,exposed,0.00346,1.89711,0,,,,0.14,0.00102
0,1,MS,1,Sheath,exposed,0.0006,4.446667,0,,,,0.103,0.00068
0,1,MS,2,Internode,enclosed,0.0004,2.26,0,,,,0.18,0.00033
0,1,MS,2,Lamina,exposed,0.0034,1.15,0,,,,0.09,0.00083
0,1,MS,2,Sheath,exposed,0.0005,1.96,0,,,,0.069,0.00021
0,1,MS,3,Internode,enclosed,0.00025,2.688,0,,,,0.154,0.00014
0,1,MS,3,Lamina,exposed,0.00228,0.791228,0,,,,0.05,0.00053
0,1,MS,3,Sheath,exposed,0.000323,1.054703,0.192,,,,0.034744,0.000089
0,1,MS,4,Peduncle,enclosed,0.00159,1.773585,0,,,,0.17,0.00086
0,1,MS,4,Peduncle,exposed,0.000811,1.768919,-0.001184,,,,0.087103,0.000441
0,1,MS,5,Chaff,exposed,0.00075,6.746667,0,,,,0.21,0.00107
1,1,MS,0,Roots,enclosed,,,,16.009412,0.714706,0.000635,0.503865,0.009997
1,1,MS,1,Internode,enclosed,0.001129,1.615239,0,,,,0.1415,0.00064
1,1,MS,1,Internode,exposed,0.000371,1.620317,0,,,,0.0465,0.00021
1,1,MS,1,Lamina,exposed,0.00346,1.930008,0,,,,0.14,0.00102
1,1,MS,1,Sheath,exposed,0.0006,4.465968,0,,,,0.103,0.00068
1,1,MS,2,Internode,enclosed,0.0004,2.219804,0,,,,0.18,0.00033
1,1,MS,2,Lamina,exposed,0.0034,1.187455,0,,,,0.09,0.00083
1,1,MS,2,Sheath,exposed,0.0005,1.989513,0,,,,0.069,0.00021
1,1,MS,3,Internode,enclosed,0.00025,2.627677,0,,,,0.154,0.00014
1,1,MS,3,Lamina,exposed,0.00228,0.830876,0,,,,0.05,0.00053
1,1,MS,3,Sheath,exposed,0.000323,1.088352,0.192,,,,0.034744,0.000089
1,1,MS,4,Peduncle,enclosed,0.00159,1.794306,0,,,,0.17,0.00086
1,1,MS,4,Peduncle,exposed,0.000811,1.798616,-0.001184,,,,0.087103,0.000441
1,1,MS,5,Chaff,exposed,0.00075,6.72576,0,,,,0.21,0.00107
2,1,MS,0,Roots,enclosed,,,,16.009412,0.714706,0.000635,0.503865,0.009997
2,1,MS,1,Internode,enclosed,0.001129,1.6003,0,,,,0.1415,0.00064
2,1,MS,1,Internode,exposed,0.000371,1.617635,0,,,,0.0465,0.00021
2,1,MS,1,Lamina,exposed,0.00346,1.921366,0,,,,0.14,0.00102
2,1,MS,1,Sheath,exposed,0.0006,4.447904,0,,,,0.103,0.00068
2,1,MS,2,Internode,enclosed,0.0004,2.166293,0,,,,0.18,0.00033
2,1,MS,2,Lamina,exposed,0.0034,1.183512,0,,,,0.09,0.00083
2,1,MS,2,Sheath,exposed,0.0005,1.98101,0,,,,0.069,0.00021
2,1,MS,3,Internode,enclosed,0.00025,2.559451,0,,,,0.154,0.00014
2,1,MS,3,Lamina,exposed,0.00228,0.829933,0,,,,0.05,0.00053
2,1,MS,3,Sheath,exposed,0.000323,1.082892,0.192,,,,0.034744,0.000089
2,1,MS,4,Peduncle,enclosed,0.00159,1.779526,0,,,,0.17,0.00086
2,1,MS,4,Peduncle,exposed,0.000811,1.790727,-0.001184,,,,0.087103,0.000441
2,1,MS,5,Chaff,exposed,0.00075,6.67902,0,,,,0.21,0.00107
3,1,MS,0,Roots,enclosed,,,,15.89791,0.709728,0.000635,0.503727,0.009995
3,1,MS,1,Internode,enclosed,0.001129,1.58585,0,,,,0.1415,0.00064
3,1,MS,1,Internode,exposed,0.000371,1.611502,0,,,,0.0465,0.00021
3,1,MS,1,Lamina,exposed,0.00346,1.909723,0,,,,0.14,0.00102
3,1,MS,1,Sheath,exposed,0.0006,4.428581,0,,,,0.103,0.00068
3,1,MS,2,Internode,enclosed,0.0004,2.126821,0,,,,0.18,0.00033
3,1,MS,2,Lamina,exposed,0.0034,1.175873,0,,,,0.09,0.00083
3,1,MS,2,Sheath,exposed,0.0005,1.97012,0,,,,0.069,0.00021
3,1,MS,3,Internode,enclosed,0.00025,2.508886,0,,,,0.154,0.00014
3,1,MS,3,Lamina,exposed,0.00228,0.824755,0,,,,0.05,0.00053
3,1,MS,3,Sheath,exposed,0.000323,1.074213,0,,,,0.034744,0.000089
3,1,MS,4,Peduncle,enclosed,0.00159,1.765078,0,,,,0.17,0.00086
3,1,MS,4,Peduncle,exposed,0.000811,1.780555,0,,,,0.087103,0.000441
3,1,MS,5,Chaff,exposed,0.00075,6.639106,0,,,,0.21,0.00107
